time,open,high,low,close
1779960900,25135.42,25143.03,25113.94,25114.33
1779961200,25114.24,25121.47,25113.22,25117.86
1779961500,25117.67,25147.17,25116.57,25146.35
1779961800,25146.63,25153.55,25134.39,25136.68
1779962100,25136.49,25138.45,25124.72,25127.34
1779962400,25126.98,25137.61,25118.32,25118.77
1779962700,25119.17,25128.0,25106.4,25124.29
1779963000,25125.11,25130.54,25114.02,25122.2
1779963300,25121.82,25125.38,25099.83,25102.01
1779963600,25101.79,25112.32,25085.3,25093.81
1779963900,25094.26,25109.13,25086.92,25092.66
1779964200,25092.22,25100.66,25087.51,25093.85
1779964500,25093.1,25093.1,25067.57,25078.13
1779964800,25077.33,25084.81,25066.16,25070.11
1779965100,25069.69,25080.68,25064.5,25075.89
1779965400,25075.59,25076.25,25011.85,25063.09
1779965700,25063.3,25063.57,25033.9,25040.41
1779966000,25040.06,25063.8,25036.48,25046.23
1779966300,25046.01,25047.81,25035.14,25043.88
1779966600,25044.04,25055.64,25038.14,25044.64
1779966900,25044.37,25055.96,25044.16,25049.31
1779967200,25049.69,25057.77,25047.57,25056.97
1779967500,25057.2,25066.44,25056.01,25059.28
1779967800,25059.34,25069.17,25055.26,25065.87
1779968100,25065.77,25066.04,25044.14,25044.6
1779968400,25044.41,25061.52,25043.78,25060.57
1779968700,25059.86,25060.61,25038.12,25040.57
1779969000,25040.45,25044.73,25035.26,25035.26
1779969300,25035.83,25043.26,25032.92,25033.27
1779969600,25032.61,25034.44,25015.88,25018.31
1779969900,25018.61,25024.23,25014.84,25019.1
1779970200,25019.01,25035.09,25017.71,25035.02
1779970500,25035.56,25038.08,25026.28,25026.28
1779970800,25025.96,25027.2,24994.9,24999.93
1779971100,25001.41,25021.32,25001.41,25021.32
1779971400,25021.42,25035.41,25020.29,25028.36
1779971700,25028.4,25053.18,25028.4,25048.14
1779972000,25049.13,25059.24,25047.7,25056.97
1779972300,25057.42,25074.02,25053.21,25060.81
1779972600,25061.26,25069.8,25059.13,25060.58
1779972900,25060.88,25075.27,25055.39,25072.83
1779973200,25072.91,25096.84,25072.91,25090.38
1779973500,25090.32,25090.94,25046.37,25046.68
1779973800,25045.79,25053.36,25042.72,25044.6
1779974100,25044.18,25047.06,25038.68,25041.19
